DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
Salsa,167774,Mk10,03:17:16 08-Apr-2017,Argos,B,28.9104,-118.2396,578,3265,102,172,,,,,,
Salsa,167774,Mk10,04:17:21 08-Apr-2017,Argos,3,28.9093,-118.2406,137,213,88,73,,,,,,
Salsa,167774,Mk10,05:13:43 08-Apr-2017,Argos,B,28.9101,-118.2401,744,4291,128,119,,,,,,
Salsa,167774,Mk10,13:23:00 08-Apr-2017,Argos,3,28.9362,-118.2270,152,205,112,153,,,,,,
Salsa,167774,Mk10,01:22:30 09-Apr-2017,Argos,B,28.9970,-118.1744,1804,27587,117,41,,,,,,
Salsa,167774,Mk10,02:25:07 09-Apr-2017,Argos,B,28.9729,-118.1963,1526,2863,813,62,,,,,,
Salsa,167774,Mk10,03:00:15 09-Apr-2017,Argos,B,28.9666,-118.2094,1942,3340,1129,40,,,,,,
Salsa,167774,Mk10,01:47:51 10-Apr-2017,Argos,B,28.9498,-118.2356,1406,26809,73,152,,,,,,
Salsa,167774,Mk10,01:54:06 10-Apr-2017,Argos,B,28.9324,-118.2270,286,2382,34,79,,,,,,
Salsa,167774,Mk10,03:31:42 10-Apr-2017,Argos,B,28.9176,-118.2305,1345,1682,1074,84,,,,,,
Salsa,167774,Mk10,04:37:59 10-Apr-2017,Argos,B,28.9088,-118.2255,1724,2200,1350,74,,,,,,
Salsa,167774,Mk10,01:17:52 11-Apr-2017,Argos,2,29.1782,-118.2744,405,730,224,72,,,,,,
Salsa,167774,Mk10,01:30:28 11-Apr-2017,Argos,1,29.1772,-118.2740,638,3590,113,72,,,,,,
Salsa,167774,Mk10,02:44:40 11-Apr-2017,Argos,B,29.1870,-118.2706,2084,2731,1589,96,,,,,,
Salsa,167774,Mk10,01:05:17 12-Apr-2017,Argos,B,30.0656,-118.3843,3797,5432,2654,84,,,,,,
Salsa,167774,Mk10,02:23:16 12-Apr-2017,Argos,A,30.1587,-118.6914,2464,42039,144,100,,,,,,
Salsa,167774,Mk10,02:26:27 12-Apr-2017,Argos,B,30.1585,-118.6905,2894,11643,719,100,,,,,,
Salsa,167774,Mk10,04:11:42 12-Apr-2017,Argos,B,30.2441,-118.7587,6663,9514,4666,94,,,,,,
Salsa,167774,Mk10,13:16:19 12-Apr-2017,Argos,B,30.6134,-119.0862,7822,13221,4627,82,,,,,,
Salsa,167774,Mk10,13:25:39 12-Apr-2017,Argos,A,30.5763,-118.8040,833,3294,210,170,,,,,,
Salsa,167774,Mk10,13:36:58 12-Apr-2017,Argos,A,30.5788,-118.9140,2868,110401,74,80,,,,,,
Salsa,167774,Mk10,01:54:23 13-Apr-2017,Argos,B,31.0490,-119.2044,3535,126967,98,136,,,,,,
Salsa,167774,Mk10,02:15:06 13-Apr-2017,Argos,B,30.7654,-118.9120,743,1442,382,54,,,,,,
Salsa,167774,Mk10,02:18:31 13-Apr-2017,Argos,B,30.7726,-118.9109,459,5254,40,78,,,,,,
Salsa,167774,Mk10,05:56:23 13-Apr-2017,Argos,B,30.9186,-119.0250,1830,2959,1131,74,,,,,,
Salsa,167774,Mk10,01:58:57 14-Apr-2017,Argos,A,31.3169,-119.6340,2309,3826,1393,123,,,,,,
Salsa,167774,Mk10,02:04:14 14-Apr-2017,Argos,B,31.2984,-119.6298,2939,4845,1783,105,,,,,,
Salsa,167774,Mk10,02:58:51 14-Apr-2017,Argos,B,31.3311,-119.6613,5717,6978,4683,99,,,,,,
Salsa,167774,Mk10,01:33:48 15-Apr-2017,Argos,B,32.0735,-120.3634,16319,343173,776,5,,,,,,
Salsa,167774,Mk10,01:55:12 15-Apr-2017,Argos,A,31.8979,-120.3875,597,2944,121,165,,,,,,
Salsa,167774,Mk10,02:30:41 15-Apr-2017,Argos,B,31.9232,-120.4050,1122,1253,1004,146,,,,,,
Salsa,167774,Mk10,03:09:38 15-Apr-2017,Argos,B,32.0448,-120.4201,2494,5205,1194,10,,,,,,
Salsa,167774,Mk10,01:45:08 16-Apr-2017,Argos,B,32.4182,-121.0800,3919,306011,50,66,,,,,,
Salsa,167774,Mk10,01:59:44 16-Apr-2017,Argos,B,32.4540,-121.0384,2710,130419,56,66,,,,,,
Salsa,167774,Mk10,02:46:33 16-Apr-2017,Argos,A,32.4974,-120.9868,627,3137,125,116,,,,,,
Salsa,167774,Mk10,01:24:51 17-Apr-2017,Argos,B,33.1947,-121.1413,13873,18224,10561,58,,,,,,
Salsa,167774,Mk10,02:27:08 17-Apr-2017,Argos,B,33.2571,-121.1495,9574,14298,6410,66,,,,,,
Salsa,167774,Mk10,04:30:57 17-Apr-2017,Argos,B,33.3214,-121.1654,3191,18788,542,99,,,,,,
Salsa,167774,Mk10,05:27:08 17-Apr-2017,Argos,B,33.3269,-121.1093,2272,176849,29,86,,,,,,
Salsa,167774,Mk10,01:59:38 18-Apr-2017,Argos,B,33.3213,-121.1258,5349,9142,3129,94,,,,,,
Salsa,167774,Mk10,02:43:13 18-Apr-2017,Argos,B,33.4259,-121.1104,16530,22764,12002,69,,,,,,
Salsa,167774,Mk10,03:03:27 18-Apr-2017,Argos,1,33.4361,-120.9569,1188,2904,486,16,,,,,,
Salsa,167774,Mk10,04:15:35 18-Apr-2017,Argos,B,33.4224,-120.9639,2764,26577,287,124,,,,,,
Salsa,167774,Mk10,04:17:22 18-Apr-2017,Argos,B,33.4283,-120.9727,2267,11162,460,123,,,,,,
Salsa,167774,Mk10,05:03:29 18-Apr-2017,Argos,B,33.4027,-120.9599,1723,1887,1572,166,,,,,,
Salsa,167774,Mk10,02:03:23 19-Apr-2017,Argos,B,33.5119,-121.0519,4799,6121,3762,66,,,,,,
Salsa,167774,Mk10,04:46:53 19-Apr-2017,Argos,B,33.8781,-120.8114,16427,64109,4209,81,,,,,,
Salsa,167774,Mk10,02:38:36 20-Apr-2017,Argos,B,34.1122,-121.0870,22138,109948,4457,70,,,,,,
Salsa,167774,Mk10,04:21:40 20-Apr-2017,Argos,B,34.1587,-121.2489,26279,111882,6172,65,,,,,,
Salsa,167774,Mk10,13:16:23 20-Apr-2017,Argos,B,34.3051,-121.5428,7369,30013,1809,144,,,,,,
Salsa,167774,Mk10,01:09:42 21-Apr-2017,Argos,B,34.6855,-121.7105,13599,18400,10049,140,,,,,,
Salsa,167774,Mk10,02:19:45 21-Apr-2017,Argos,A,34.5967,-121.6912,662,4439,98,47,,,,,,
Salsa,167774,Mk10,02:27:54 21-Apr-2017,Argos,B,34.5947,-121.6702,1957,35205,108,73,,,,,,
Salsa,167774,Mk10,04:06:31 21-Apr-2017,Argos,B,34.6590,-121.7059,2278,5943,873,71,,,,,,
Salsa,167774,Mk10,04:06:31 21-Apr-2017,Argos,B,34.6407,-121.7018,3074,3214,2938,115,,,,,,
Salsa,167774,Mk10,04:51:07 21-Apr-2017,Argos,B,34.6697,-121.7346,3122,3252,2998,151,,,,,,
Salsa,167774,Mk10,03:33:37 22-Apr-2017,Argos,B,35.2682,-122.7182,8677,8932,8429,72,,,,,,
Salsa,167774,Mk10,03:46:31 22-Apr-2017,Argos,B,35.0512,-122.7118,8476,10288,6981,92,,,,,,
Salsa,167774,Mk10,01:33:28 23-Apr-2017,Argos,B,34.4130,-123.0213,5051,172248,148,91,,,,,,
Salsa,167774,Mk10,01:46:17 23-Apr-2017,Argos,B,34.4200,-123.0095,5409,23605,1239,91,,,,,,
Salsa,167774,Mk10,02:03:54 23-Apr-2017,Argos,B,34.4730,-122.9522,6174,21249,1793,95,,,,,,
Salsa,167774,Mk10,03:18:19 23-Apr-2017,Argos,B,34.5276,-122.9093,5834,13197,2578,99,,,,,,
Salsa,167774,Mk10,01:02:36 24-Apr-2017,Argos,B,35.4072,-123.2293,15835,28280,8866,108,,,,,,
Salsa,167774,Mk10,01:13:40 24-Apr-2017,Argos,B,34.9619,-123.7662,4521,10164,2011,101,,,,,,
Salsa,167774,Mk10,01:51:33 24-Apr-2017,Argos,B,35.1108,-123.7390,10747,54063,2136,102,,,,,,
Salsa,167774,Mk10,03:49:01 24-Apr-2017,Argos,B,34.7513,-122.5110,22127,62037,7892,89,,,,,,
Salsa,167774,Mk10,04:47:29 24-Apr-2017,Argos,B,34.7526,-122.2371,16912,29750,9613,87,,,,,,
Salsa,167774,Mk10,05:36:19 24-Apr-2017,Argos,B,34.7298,-122.1039,11741,16118,8551,70,,,,,,
Salsa,167774,Mk10,02:23:18 25-Apr-2017,Argos,B,34.7633,-121.9679,6906,27079,1761,109,,,,,,
Salsa,167774,Mk10,02:23:18 25-Apr-2017,Argos,B,34.8103,-121.9615,25874,40267,16625,118,,,,,,
Salsa,167774,Mk10,03:28:49 25-Apr-2017,Argos,B,34.7806,-121.7958,6294,18341,2159,105,,,,,,
Salsa,167774,Mk10,03:33:43 25-Apr-2017,Argos,B,34.7614,-121.8320,25107,41493,15192,63,,,,,,
Salsa,167774,Mk10,01:28:02 26-Apr-2017,Argos,B,34.6488,-121.8889,4582,9767,2149,99,,,,,,
Salsa,167774,Mk10,02:01:48 26-Apr-2017,Argos,B,34.6261,-121.8167,7296,22791,2335,95,,,,,,
Salsa,167774,Mk10,03:14:29 26-Apr-2017,Argos,B,34.6169,-121.7996,5173,126835,211,135,,,,,,
Salsa,167774,Mk10,03:34:17 26-Apr-2017,Argos,B,34.6293,-121.7726,4496,7301,2768,98,,,,,,
Salsa,167774,Mk10,03:34:17 26-Apr-2017,Argos,B,34.6307,-121.7639,3582,6956,1844,77,,,,,,
Salsa,167774,Mk10,04:54:37 26-Apr-2017,Argos,B,34.6244,-121.6203,2740,4697,1598,73,,,,,,
Salsa,167774,Mk10,01:14:09 27-Apr-2017,Argos,B,34.6076,-121.6073,5309,12060,2337,60,,,,,,
Salsa,167774,Mk10,01:14:37 27-Apr-2017,Argos,B,34.5210,-121.6791,3869,32488,460,81,,,,,,
Salsa,167774,Mk10,02:58:40 27-Apr-2017,Argos,B,34.5340,-121.3862,4513,31692,642,90,,,,,,
Salsa,167774,Mk10,03:07:51 27-Apr-2017,Argos,B,34.5238,-121.6598,3407,11574,1003,77,,,,,,
Salsa,167774,Mk10,04:30:38 27-Apr-2017,Argos,B,34.5698,-121.6443,7011,156481,314,81,,,,,,
Salsa,167774,Mk10,01:00:06 28-Apr-2017,Argos,B,34.5117,-120.4060,9362,19780,4431,104,,,,,,Lon > 4 deviations from mean
Salsa,167774,Mk10,01:02:22 28-Apr-2017,Argos,A,34.4245,-121.6356,426,553,327,149,,,,,,
Salsa,167774,Mk10,01:09:33 28-Apr-2017,Argos,2,34.4205,-121.6363,255,377,172,79,,,,,,
Salsa,167774,Mk10,02:30:21 28-Apr-2017,Argos,A,34.4028,-121.5580,2174,10827,436,108,,,,,,
Salsa,167774,Mk10,02:46:48 28-Apr-2017,Argos,B,34.4306,-121.5284,3338,4952,2250,88,,,,,,
Salsa,167774,Mk10,02:51:56 28-Apr-2017,Argos,B,34.4093,-121.5577,3207,23816,431,107,,,,,,
Salsa,167774,Mk10,05:00:20 28-Apr-2017,Argos,B,34.4437,-121.4490,4386,20875,921,85,,,,,,
Salsa,167774,Mk10,01:00:30 29-Apr-2017,Argos,B,34.4427,-121.4947,3951,20132,775,62,,,,,,
Salsa,167774,Mk10,01:59:26 29-Apr-2017,Argos,B,34.4268,-121.4773,3683,12986,1044,64,,,,,,
Salsa,167774,Mk10,05:28:58 29-Apr-2017,Argos,B,34.3988,-121.5385,2804,7720,1018,99,,,,,,
