DeployID,Ptt,Instr,Date,Type,Quality,Latitude,Longitude,Error radius,Error Semi-major axis,Error Semi-minor axis,Error Ellipse orientation,Offset,Offset orientation,GPE MSD,GPE U,Count,Comment
Dinga,167773,Mk10,25/03/2017 01:46,Argos,3,37.8309,-122.5209,222,416,118,12,,,,,,
Dinga,167773,Mk10,25/03/2017 01:57,Argos,B,37.8302,-122.5209,493,619,391,84,,,,,,
Dinga,167773,Mk10,25/03/2017 02:40,Argos,A,37.9305,-122.4045,505,1181,215,88,,,,,,
Dinga,167773,Mk10,25/03/2017 03:25,Argos,1,37.8805,-122.534,985,1092,889,4,,,,,,
Dinga,167773,Mk10,02:12:04 05-Apr-2017,Argos,B,28.8884,-118.3223,19723,55688,6985,73,,,,,,
Dinga,167773,Mk10,04:37:16 05-Apr-2017,Argos,B,28.9019,-118.2696,8231,196828,344,29,,,,,,
Dinga,167773,Mk10,01:54:56 06-Apr-2017,Argos,2,28.9659,-118.2109,347,1546,77,86,,,,,,
Dinga,167773,Mk10,01:56:00 06-Apr-2017,Argos,2,28.9645,-118.2061,360,1157,111,79,,,,,,
Dinga,167773,Mk10,02:09:10 06-Apr-2017,Argos,1,28.9616,-118.2074,1147,17250,76,101,,,,,,
Dinga,167773,Mk10,01:31:26 07-Apr-2017,Argos,A,28.9713,-118.2136,774,3671,163,49,,,,,,
Dinga,167773,Mk10,04:39:06 07-Apr-2017,Argos,1,28.9721,-118.174,1332,12275,144,76,,,,,,Lon > 4 deviations from mean
Dinga,167773,Mk10,01:01:45 08-Apr-2017,Argos,1,28.9642,-118.2227,1341,3429,523,30,,,,,,
Dinga,167773,Mk10,01:10:19 08-Apr-2017,Argos,A,28.9645,-118.2131,648,950,441,7,,,,,,
Dinga,167773,Mk10,01:33:53 08-Apr-2017,Argos,B,28.9649,-118.2187,497,2813,87,8,,,,,,
Dinga,167773,Mk10,03:15:15 08-Apr-2017,Argos,B,28.9545,-118.2132,977,6921,137,84,,,,,,
Dinga,167773,Mk10,04:18:06 08-Apr-2017,Argos,B,28.9583,-118.2138,1195,13536,105,87,,,,,,
Dinga,167773,Mk10,05:13:06 08-Apr-2017,Argos,B,28.9596,-118.2147,1428,3296,618,80,,,,,,
Dinga,167773,Mk10,01:24:32 09-Apr-2017,Argos,A,28.9574,-118.2273,232,712,75,50,,,,,,
Dinga,167773,Mk10,02:19:59 09-Apr-2017,Argos,B,28.9578,-118.2255,726,11319,46,104,,,,,,
Dinga,167773,Mk10,02:22:29 09-Apr-2017,Argos,B,28.958,-118.2131,959,29877,30,108,,,,,,
Dinga,167773,Mk10,02:59:37 09-Apr-2017,Argos,B,28.9275,-118.2036,1878,3012,1170,142,,,,,,
Dinga,167773,Mk10,03:55:26 09-Apr-2017,Argos,2,28.9622,-118.2202,297,537,164,40,,,,,,
Dinga,167773,Mk10,04:56:43 09-Apr-2017,Argos,A,28.9625,-118.223,366,1648,81,81,,,,,,
Dinga,167773,Mk10,05:37:47 09-Apr-2017,Argos,3,28.962,-118.2217,143,355,57,101,,,,,,
Dinga,167773,Mk10,01:52:55 10-Apr-2017,Argos,A,28.9601,-118.2059,355,3883,32,98,,,,,,
Dinga,167773,Mk10,01:56:20 10-Apr-2017,Argos,A,28.9627,-118.2018,293,1616,53,99,,,,,,
Dinga,167773,Mk10,02:56:51 10-Apr-2017,Argos,B,28.9648,-118.2164,898,8914,90,134,,,,,,
Dinga,167773,Mk10,03:36:24 10-Apr-2017,Argos,B,28.9649,-118.2127,694,1459,330,59,,,,,,
Dinga,167773,Mk10,04:29:36 10-Apr-2017,Argos,B,28.9683,-118.2134,1207,1576,923,69,,,,,,
